module_id,resource_id,amount
storage_annex,planks,6
storage_annex,beams,3
storage_annex,stone_blocks,2
loading_bay,planks,4
loading_bay,gravel,4
loading_bay,tools,1
stable_annex,planks,6
stable_annex,beams,3
stable_annex,leather,2
water_reservoir_annex,bricks,6
water_reservoir_annex,iron_plate,4
water_reservoir_annex,pipe,2
coal_bunker,bricks,8
coal_bunker,iron_plate,3
local_steam_drive,iron_plate,6
local_steam_drive,pipe,4
local_steam_drive,steam_engine,1
repair_shed,planks,6
repair_shed,iron_plate,3
repair_shed,tools,3
repair_shed,lubricant,2
crane_annex,steel_beam,4
crane_annex,rope,3
crane_annex,mechanical_assembly,2
lab_wing,bricks,10
lab_wing,glass,6
lab_wing,copper_wire,4
lab_wing,pressure_gauge,2
